Vegetation Cover,NO3,NH4,P,K,SO4,B,Organic Matter,pH,Zn,Cu,Fe,Ca,Mg,Na
75,11.75,2,109,12,12,0.43,0.46,8,1.2,0.1,2,5.8,0.6,0.06
30,0.25,0.75,21,6,4,0.15,0.19,8.7,0.1,0.1,1,4.2,0.4,0.06
70,6.75,1.5,81,9,7,0.22,0.57,8.1,0.7,0.1,1,5.1,0.4,0.04
75,36.25,2.25,49,15,10,0.25,0.88,7.7,0.5,0.1,1,5.4,0.5,0.05
70,63.5,2.25,160,35,24,1.5,2.25,7.5,2.9,0.9,3,6.8,0.6,0.21
98,23.75,1.75,76,19,11,0.5,0.65,7.9,0.9,0.1,1,5.8,0.5,0.11
95,11.5,1.5,61,22,8,0.4,0.58,7.9,0.8,0.1,1,5.5,0.6,0.09
98,5,0.75,49,13,6,0.2,0.11,8.4,0.5,0.1,1,5.7,0.4,0.1
75,2.25,0.75,36,9,6,0.19,0.21,8.6,0.3,0.1,1,6,0.4,0.07
90,6.5,1.5,57,13,7,0.34,0.33,8.3,0.6,0.2,1,5,0.5,0.1
85,14.5,1.5,59,15,11,0.53,0.39,8.4,0.7,0.1,1,5.3,0.6,0.12
15,0.25,1.75,21,14,6,0.3,0.12,8.8,0.2,0.1,1,5.8,0.5,0.11
50,3.75,1.5,67,13,6,0.18,0.84,8,0.5,0.1,1,4.8,0.3,0.08
50,9.5,1.5,70,14,8,0.22,0.28,8,0.6,0.1,1,5.5,0.4,0.06
45,4.25,2.75,125,15,11,0.65,0.76,7.9,1.5,0.3,2,5.8,0.5,0.09
45,24.5,2.75,129,19,16,0.72,0.92,7.8,1.7,0.3,3,5.9,0.5,0.11
40,2.75,2.25,44,11,8,0.14,0.26,8.4,0.4,0.1,1,6.1,0.4,0.08
40,9,1.75,50,9,6,0.15,0.13,8.4,0.4,0.1,1,5.6,0.3,0.06
55,34,2.75,123,23,17,0.51,2.08,7.7,1.3,0.2,2,7.2,0.5,0.11
55,23.25,3,128,15,14,0.48,0.65,7.8,1.2,0.2,2,7,0.4,0.09
60,9.5,2.75,84,18,10,0.63,0.82,7.9,1.3,0.1,1,6.3,0.8,0.13
60,11.25,2.25,89,14,12,0.46,0.63,8,1,0.1,1,5.4,0.5,0.15
35,10.5,3,81,18,10,0.42,0.87,7.9,1,0.1,1,5.4,0.5,0.14
35,28.5,6.75,95,16,14,0.49,0.51,7.8,1.3,0.1,2,5.7,0.5,0.12
50,24.75,4.75,129,20,13,0.47,0.8,7.8,1.3,0.1,2,6,0.5,0.11
50,23.75,1.75,140,16,17,0.76,1.38,7.7,1.9,0.4,3,5.9,0.5,0.1
60,7.75,1,111,17,11,0.62,0.43,8.1,2.8,0.2,1,5,0.6,0.21
60,16,1,129,16,10,0.56,0.73,7.9,2.7,0.4,2,5.7,0.8,0.08
40,7.75,0.75,66,13,12,0.25,0.68,8,0.7,0.1,2,5.6,0.4,0.04
40,8.5,0.75,55,11,9,0.26,0.55,8,0.7,0.1,2,5.5,0.4,0.04
35,16.5,1.25,61,21,9,0.37,0.64,7.8,0.9,0.2,1,4.9,0.4,0.12
35,8,2.25,61,7,6,0.28,0.82,8,0.8,0.2,1,5.1,0.3,0.1
35,3.75,1.25,51,5,5,0.14,0.54,8.2,0.4,0.1,1,5,0.3,0.09
35,3.5,1,48,6,4,0.14,0.36,8.2,0.4,0.1,1,5.2,0.3,0.07
20,14.25,0.25,59,5,7,0.16,0.26,8.1,0.5,0.1,1,5.4,0.3,0.04
20,7.5,0.75,58,7,6,0.15,0.37,8.3,0.5,0.1,1,5.6,0.3,0.03
50,6.25,1,50,5,7,0.2,0.54,8.1,0.4,0.2,1,5.6,0.4,0.04
50,12.5,0.75,69,7,9,0.19,0.42,8,0.5,0.1,1,5.4,0.4,0.03
45,12.75,2,90,9,8,0.37,0.68,7.9,1,0.2,1,5.7,0.4,0.05
45,6,0.75,84,12,6,0.3,1,7.9,0.8,0.1,1,5.7,0.4,0.06
45,2,0.75,48,8,5,0.16,0.28,8.3,0.3,0.1,1,4.9,0.3,0.09
45,5.25,0.75,41,8,4,0.1,0.08,8.4,0.3,0.1,1,5.2,0.3,0.08
40,8.75,1.5,104,10,9,0.43,0.66,7.8,1,0.2,1,6.1,0.5,0.11
40,20.75,2.5,120,16,10,0.65,1.82,7.6,1.5,0.3,1,7,0.8,0.1
15,5.25,0.75,41,5,6,0.22,0.39,8.2,0.5,0.1,1,5.4,0.3,0.08
15,34,1,69,13,13,0.2,0.58,7.9,0.6,0.1,1,5.5,0.4,0.03
35,40.5,1,81,14,14,0.36,0.95,7.7,0.8,0.1,1,5.6,0.5,0.07
35,23,1,83,12,16,0.46,0.65,7.8,1,0.1,1,5.8,0.5,0.06
10,37,0.75,49,11,19,0.35,0.43,8.2,0.5,0.1,1,5.6,0.6,0.26
10,16.25,0.75,70,10,10,0.27,0.31,8.3,0.5,0.1,1,5.9,0.5,0.23
15,21,1.25,41,7,11,0.35,0.27,8.3,0.4,0.1,1,5.6,0.5,0.12
15,46.75,0.75,37,11,17,0.29,0.09,8.1,0.3,0.1,1,6,0.5,0.07
30,27.75,2.25,84,11,13,0.24,0.46,8,0.8,0.1,1,5.9,0.5,0.13
30,26.5,2.75,64,11,10,0.22,0.32,8.1,0.6,0.1,1,5.7,0.4,0.05
55,14,1.75,52,11,13,0.34,0.23,8.3,0.6,0.1,1,5.6,0.5,0.18
55,39.25,1.75,52,12,13,0.34,0.25,8.1,0.6,0.1,1,5.5,0.5,0.08
10,6,1.75,18,13,13,0.27,0.08,8.4,0.2,0.1,1,5.4,0.5,0.33
10,4.75,1.75,19,7,7,0.28,0.21,8.6,0.2,0.1,1,5.2,0.4,0.07
90,72.75,9.25,90,121,118,6.05,1.56,8.1,3.8,0.6,2,6,3.4,4.8
65,154.25,8.75,122,164,184,9.99,3.35,8,3.4,0.8,3,7.5,5.8,7.2
70,102.5,10.25,117,66,65,6.39,2.79,8.2,2,1.3,3,7.1,3.5,1.91
75,82,10.25,69,51,64,2.86,1.52,8.2,1.4,0.3,2,5.3,2,1.41
15,210.5,13.25,171,150,258,7.75,2.52,8,2.8,0.7,3,8,4.5,8.22
10,156.5,12.25,143,92,70,9.45,3.07,8,2.3,0.8,4,8.6,4.5,1.73
15,158.5,12.75,158,118,107,17.46,4.46,8,2.6,0.7,3,10.8,6.3,3.76
15,95.75,11.25,127,34,35,4.1,2.47,7.8,1.8,0.4,3,7.3,2.4,0.45
98,223.75,10.5,132,58,47,1.92,2.7,7.6,1,0.1,1,6.3,1.5,0.48
98,285.25,12.75,80,63,43,0.87,1.38,7.5,0.8,0.1,1,6.2,0.9,0.34
98,633.75,13.25,71,131,122,1.93,1.37,7.7,1,0.1,1,7.1,1.5,0.49
80,227.5,12,107,47,43,0.62,0.76,7.7,10,0.1,1,6.3,0.7,0.24
80,240.75,12.25,103,54,67,1.23,2.36,7.6,3.2,0.2,1,6.9,0.9,0.48
70,286,12.25,126,93,79,1.44,1.95,7.5,3.2,0.2,1,8.2,1.3,0.6
90,408.5,14.25,154,129,154,2.35,3.75,7.4,3.5,0.3,2,12.5,1.5,0.74
1,20.5,8.75,36,17,7,0.2,0.15,8.7,0.4,0.1,1,7.3,0.5,0.14
3,3.25,8.25,14,15,5,0.09,0.09,8.5,0.2,0.1,1,6.6,0.4,0.1
1,3.75,8.25,10,15,4,0.07,0.1,8.6,0.1,0.1,1,6.2,0.4,0.12
1,4.5,11.5,15,12,4,0.07,0.01,8.6,0.2,0.1,1,6.2,0.4,0.12
